name,manufacturer
뉴스타틴티에스정40/5/10밀리그램,삼진제약(주)
뉴스타틴티에스정80/5/10밀리그램,삼진제약(주)
피마솔로정30밀리그램(피마사르탄칼륨삼수화물),한국프라임제약(주)
미유린정0.1밀리그램(데스모프레신아세트산염),이연제약(주)
피디펙솔서방정0.375밀리그램(프라미펙솔염산염일수화물),명인제약(주)
발사르텔플러스정80/12.5밀리그램,(주)중헌제약
트라비트세미서방정,(주)씨티씨바이오
로수바트정5mg(로수바스타틴칼슘),엔비케이제약(주)
케라티모캡슐,정우신약(주)
힐러스정(빌다글립틴),한국유나이티드제약(주)
가스트큐정(반하사심탕),(주)알피바이오
"트라콤이알세미서방정(트라마돌염산염, 아세트아미노펜)",이연제약(주)
아모사르정5/100mg,(주)하원제약
에소마크캡슐40mg(에스오메프라졸마그네슘이수화물),동광제약(주)
도네질정5밀리그램(도네페질염산염수화물),한미약품(주)
타리무스캡슐0.5밀리그램(타크로리무스수화물),한미약품(주)
안플레임정(오플록사신),한국프라임제약(주)
옥시린정40밀리그램(옥틸로늄브롬화물),한국프라임제약(주)
리바로브이정4/160밀리그램,제이더블유중외제약(주)
후락시파린주사5700IU(프리필드)(나드로파린칼슘),(주)한독
쓰리티씨정150밀리그램(라미부딘),(주)글락소스미스클라인
클라비오정250밀리그램(클래리트로마이신),조아제약(주)
"대우돔페리돈정(수출용)(수출명:보미돔정, 가솜펠정)",대우제약(주)
에드파정10밀리그램(에스시탈로프람옥살산염),한림제약(주)
푸로스타정(피나스테리드),영풍제약(주)
"히루안플러스주(히알루론산나트륨)(수출명: 히루안Ⅲ주, 엘지히루안플러스주,히루안Q, 히루안주, 신히알)",(주)엘지화학
위메탄정20밀리그램(올메사르탄메독소밀),위더스제약(주)
올메액트정10밀리그램(올메사르탄메독소밀),한국다이이찌산쿄(주)
쎄레콕스캡슐200밀리그램(세레콕시브),영풍제약(주)
휴록사신정100mg(레보플록사신수화물),(주)휴비스트제약
휴록스정(록소프로펜나트륨수화물),(주)휴비스트제약
도모호론크림(클로베타솔프로피오네이트),(주)동구바이오제약
스포넥스캡슐(이트라코나졸),(주)동구바이오제약
오메톤에스정40mg(에스오메프라졸마그네슘이수화물),(주)동구바이오제약
프로코푸정(레보드로프로피진),(주)동구바이오제약
앤틱스캡슐(포도엽건조엑스),한국휴텍스제약(주)
"젠스트린트로키(멘톨앤페퍼민트향, 페퍼민트향, 레몬향, 복숭아향)(플루르비프로펜)",신일제약(주)
태극암로디핀정(암로디핀말레산염),태극제약(주)
아이월드신비콜엑스과립,(주)아이월드제약
마이메가100정,광동제약(주)
베니톨정(미세정제플라보노이드분획물),광동제약(주)
스웨클로액(염화알루미늄),광동제약(주)
니코픽스정0.5mg(바레니클린살리실산염),한국휴텍스제약(주)
레토르정2밀리그램(이르소글라딘말레산염),안국약품(주)
키즈앤펜시럽(이부프로펜),광동제약(주)
광동티라미드정(티로프라미드염산염),광동제약(주)
울셋정,(주)비씨월드제약
크로탈정(아세클로페낙),영풍제약(주)
실리세프연질캡슐(밀크시슬열매건조엑스),일동제약(주)
큐오렐정(클로피도그렐황산수소염),일성아이에스(주)
어스본드로주(이반드론산나트륨일수화물),(주)옵투스제약
엑셀씨캡슐6밀리그램(리바스티그민타르타르산염),에이치엘비제약(주)
유로리드정(피나스테리드),(주)동구바이오제약
카버락틴정1mg(카베르골린),(주)동구바이오제약
프로자탄정(로사르탄칼륨),(주)동구바이오제약
나르코설하정200마이크로그램(펜타닐시트르산염),(주)비씨월드제약
에버퀸정,태극제약(주)
모프린과립,(주)아이월드제약
아이월드용담사간탕엑스과립,(주)아이월드제약
라메아주사액0.3밀리그램(라모세트론염산염),광동제약(주)
브이반플러스정80.0/12.5밀리그램,광동제약(주)
알렌포스플러스디정,광동제약(주)
라베피아정20밀리그램(라베프라졸나트륨),에이치엘비제약(주)
로바스토정5밀리그램(로수바스타틴칼슘),에이치엘비제약(주)
태극염산시프로플록사신정(수출명 : STACIPRO TABLET),태극제약(주)
파티마겔2.5%(가수과산화벤조일),태극제약(주)
페니민정(펜터민염산염),태극제약(주)
페닝정(펜디메트라진타르타르산염),태극제약(주)
플루민캡슐10밀리그램(플루옥세틴염산염),태극제약(주)
"하이로손크림(히드로코르티손)(수출명:Hydrocortisone1%CreamMaxStrength,HydrocortisoneCream)",태극제약(주)
"잘로스트점안액(라타노프로스트)(수출명:뉴잘로스트점안액,NEWXALOSTOphthalmicsolution)",(주)태준제약
레칼핀정10밀리그램(레르카니디핀염산염),일동제약(주)
연휴정1밀리그램(바레니클린살리실산염),(주)보령
삼익오플록사신정,삼익제약(주)
네비롤정(네비보롤염산염),초당약품공업(주)
다이놀정(에티드론산디나트륨),초당약품공업(주)
하시버정(아시클로버),(주)다산제약
세프록틸건조시럽50mg/5mL(세프포독심프록세틸),대웅바이오(주)
제일알지싹세티연질캡슐(세티리진염산염),제일헬스사이언스(주)
타미트라정,삼익제약(주)
세바클캡슐250mg(세파클러수화물),삼진제약(주)
몬테카스정10밀리그램(몬테루카스트나트륨),(주)동구바이오제약
트윈하트정40/10밀리그램,(주)동구바이오제약
휴사드정(모사프리드시트르산염수화물),(주)휴비스트제약
파마에스오메프라졸정20밀리그램(에스오메프라졸마그네슘이수화물),(주)한국파마
도네포스정10밀리그램(도네페질염산염수화물),(주)동구바이오제약
태극아세클로페낙정,태극제약(주)
비카루드정(비칼루타미드),광동제약(주)
광동세파클러캡슐(세파클러수화물),광동제약(주)
글리디아정15밀리그램(피오글리타존염산염),(주)다산제약
아모시달정625밀리그램(아목시실린수화물·묽은클라불란산칼륨),광동제약(주)
알도셉트정5밀리그램(도네페질염산염),광동제약(주)
엑스브이정5/160밀리그램,광동제약(주)
네바민정(레바미피드),에이치엘비제약(주)
로자틴정100밀리그램(로사르탄칼륨),에이치엘비제약(주)
